code,name,market
3242,アーバネットコーポレーション,standard
3245,ディア・ライフ,prime
3246,コーセーアールイー,standard
3248,アールエイジ,standard
324A,ブッキングリゾート,growth
3252,地主,prime
325A,ＴＥＮＴＩＡＬ,growth
3261,グランディーズ,growth
3266,ファンドクリエーショングループ,standard
3267,フィル・カンパニー,standard
3271,ＴＨＥグローバル社,standard
3276,ＪＰＭＣ,prime
3277,サンセイランディック,standard
3280,エストラスト,standard
3284,フージャースホールディングス,prime
3286,トラストホールディングス,standard
3288,オープンハウスグループ,prime
3289,東急不動産ホールディングス,prime
3291,飯田グループホールディングス,prime
3293,アズマハウス,standard
3294,イーグランド,standard
3297,東武住販,standard
3299,ムゲンエステート,standard
3300,アンビション　ＤＸ　ホールディングス,growth
3302,帝国繊維,prime
3306,日本製麻,standard
330A,ＴａｌｅｎｔＸ,growth
3315,日本コークス工業,prime
3317,フライングガーデン,standard
331A,メディックス,standard
3320,クロスプラス,standard
3321,ミタチ産業,standard
3323,レカム,standard
3326,ランシステム,standard
3329,東和フードサービス,standard
332A,ミーク,growth
3333,あさひ,prime
3349,コスモス薬品,prime
334A,ビジュアル・プロセッシング・ジャパン,growth
3350,メタプラネット,standard
3352,バッファロー,standard
3353,メディカル一光グループ,standard
3355,クリヤマホールディングス,standard
3358,Ｔｒａｉｌｈｅａｄ　Ｇｌｏｂａｌ　Ｈｏｌｄｉｎｇｓ,standard
3359,ｃｏｔｔａ,growth
335A,ミライロ,growth
3360,シップヘルスケアホールディングス,prime
3361,トーエル,standard
336A,ダイナミックマッププラットフォーム,growth
3370,フジタコーポレーション,standard
3371,ソフトクリエイトホールディングス,prime
3372,関門海,standard
3374,内外テック,standard
3375,ＺＯＡ,standard
3377,バイク王＆カンパニー,standard
3382,セブン＆アイ・ホールディングス,prime
3386,コスモ・バイオ,standard
3387,クリエイト・レストランツ・ホールディングス,prime
3388,明治電機工業,prime
338A,ＺｅｎｍｕＴｅｃｈ,growth
3391,ツルハホールディングス,prime
3392,デリカフーズホールディングス,standard
3393,スターティアホールディングス,prime
3395,サンマルクホールディングス,prime
3396,フェリシモ,standard
3397,トリドールホールディングス,prime
3399,丸千代山岡家,standard
339A,プログレス・テクノロジーズ　グループ,growth
3401,帝人,prime
3402,東レ,prime
3405,クラレ,prime
3407,旭化成,prime
3409,北紡,standard
340A,ジグザグ,growth
3415,ＴＯＫＹＯ　ＢＡＳＥ,prime
3416,ピクスタ,standard
3417,大木ヘルスケアホールディングス,standard
3418,バルニバービ,growth
341A,トヨコー,growth
3420,ケー・エフ・シー,standard
3421,稲葉製作所,standard
3422,Ｊ－ＭＡＸ,standard
3423,エスイー,standard
3426,アトムリビンテック,standard
3431,宮地エンジニアリンググループ,prime
3433,トーカロ,prime
3434,アルファＣｏ,standard
3435,サンコーテクノ,standard
3436,ＳＵＭＣＯ,prime
3437,特殊電極,standard
3439,三ツ知,standard
343A,ＩＡＣＥトラベル,standard
3440,日創グループ,standard
3441,山王,standard
3443,川田テクノロジーズ,prime
3444,菊池製作所,standard
3445,ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,prime
3446,ジェイテックコーポレーション,standard
3447,信和,standard
3449,テクノフレックス,standard
3452,ビーロット,standard
3454,ファーストブラザーズ,standard
3457,Ａｎｄ　Ｄｏホールディングス,prime
3461,パルマ,standard
3465,ケイアイスター不動産,prime
3467,アグレ都市デザイン,standard
3469,デュアルタップ,standard
3474,Ｇ－ＦＡＣＴＯＲＹ,growth
3475,グッドコムアセット,prime
3477,フォーライフ,growth
3479,ティーケーピー,growth
3480,ジェイ・エス・ビー,prime
3482,ロードスターキャピタル,prime
3484,イノベーションホールディングス,standard
3486,グローバル・リンク・マネジメント,prime
3489,フェイスネットワーク,standard
3490,アズ企画設計,standard
3491,ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ,growth
3494,マリオン,standard
3495,香陵住販,standard
3496,アズーム,prime
3498,霞ヶ関キャピタル,prime
3501,ＳＵＭＩＮＯＥ,prime
350A,デジタルグリッド,growth
3512,日本フエルト,standard
3513,イチカワ,standard
3521,テルマー湯ホールディングス,standard
3524,日東製網,standard
3529,アツギ,standard
352A,ＬＯＩＶＥ,growth
3536,アクサスホールディングス,standard
3537,昭栄薬品,standard
3538,ウイルプラスホールディングス,standard
3539,ＪＭホールディングス,prime
3542,ベガコーポレーション,growth
3543,コメダホールディングス,prime
3544,サツドラホールディングス,standard
3546,アレンザホールディングス,prime
3547,ユニシアホールディングス,standard
3548,バロックジャパンリミテッド,prime
3549,クスリのアオキホールディングス,prime
3550,スタジオアタオ,growth
3551,ダイニック,standard
3553,共和レザー,standard
3556,リネットジャパングループ,growth
3557,ユナイテッド＆コレクティブ,growth
3558,ジェイドグループ,growth
3559,ピーバンドットコム,standard
3560,ほぼ日,standard
3561,力の源ホールディングス,prime
3562,Ｎｏ．１,standard
3563,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,prime
3565,アセンテック,standard
3566,ユニフォームネクスト,growth
3569,セーレン,prime
3571,ソトー,standard
3577,東海染工,standard
3580,小松マテーレ,prime
3583,オーベクス,standard
3591,ワコールホールディングス,prime
3597,自重堂,standard
3598,山喜,standard
3600,フジックス,standard
3607,クラウディアホールディングス,standard
3608,ＴＳＩホールディングス,prime
3611,マツオカコーポレーション,standard
3612,ワールド,prime
3622,ネットイヤーグループ,standard
3623,ビリングシステム,growth
3624,アクセルマーク,growth
3625,テックファームホールディングス,growth
3626,ＴＩＳ,prime
3627,テクミラホールディングス,standard
3628,データホライゾン,growth
3632,グリーホールディングス,prime
3633,ＧＭＯペパボ,standard
3634,ソケッツ,standard
3635,コーエーテクモホールディングス,prime
3636,三菱総合研究所,prime
3639,ボルテージ,standard
3640,電算,standard
3641,パピレス,standard
3645,メディカルネット,growth
3646,駅探,standard
3647,アスリナ,standard
3648,ＡＧＳ,standard
3649,ファインデックス,prime
3652,ディジタルメディアプロフェッショナル,growth
3653,モルフォ,growth
3656,ＫＬａｂ,prime
3657,ポールトゥウィンホールディングス,prime
3659,ネクソン,prime
365A,伊澤タオル,standard
3660,アイスタイル,prime
3661,エムアップホールディングス,prime
3662,エイチームホールディングス,prime
3663,セルシス,prime
3664,ＷＩＺＥ,growth
3665,エニグモ,prime
3667,ｅｎｉｓｈ,standard
3668,コロプラ,prime
366A,ウェルネス・コミュニケーションズ,growth
3670,協立情報通信,standard
3671,ソフトマックス,standard
3672,オルトプラス,standard
3673,ブロードリーフ,prime
3674,オークファン,growth
3675,クロス・マーケティンググループ,standard
3676,デジタルハーツホールディングス,prime
